Duration,x,y,z,x,y,z,w
1568115197.078188000,14.7127,-1.55403,0.899271,0.00293658,0.00201613,0.736387,0.676551
1568115197.278616000,14.6972,-1.55318,0.896825,0.00333398,0.00148803,0.736349,0.676592
1568115197.479156000,14.708,-1.55534,0.898038,0.00291335,0.00176858,0.736561,0.676363
1568115197.679431000,14.7148,-1.55995,0.902251,0.00206301,0.00297138,0.736471,0.67646
1568115197.879844000,14.7132,-1.55507,0.895889,0.00267094,0.00210028,0.736543,0.676382
1568115198.080189000,14.7159,-1.55355,0.90088,0.00254664,0.00225798,0.736576,0.676346
1568115198.280649000,14.7108,-1.5544,0.899132,0.00236861,0.00245249,0.736567,0.676356
1568115198.481027000,14.7157,-1.55414,0.90291,0.00233287,0.00246922,0.736243,0.676709
1568115198.681407000,14.7205,-1.55399,0.900857,0.002707,0.00229385,0.736487,0.676443
1568115198.881891000,14.7185,-1.5622,0.90547,0.00201004,0.0028951,0.736503,0.676425
1568115199.082199000,14.7184,-1.55478,0.901221,0.00255445,0.00245193,0.736522,0.676404
1568115199.282577000,14.7168,-1.55138,0.898457,0.00255232,0.00223553,0.736156,0.676803
1568115199.483020000,14.7246,-1.55086,0.89421,0.0027364,0.00216885,0.736584,0.676337
1568115199.683453000,14.7182,-1.55458,0.896709,0.00249671,0.00216666,0.736533,0.676394
1568115199.883771000,14.7156,-1.55203,0.892722,0.00278594,0.00226017,0.736383,0.676555
1568115200.084312000,14.7154,-1.55077,0.898449,0.00292502,0.00184718,0.736326,0.676618
1568115200.284686000,14.7109,-1.55382,0.902174,0.00288769,0.00199263,0.73657,0.676352
1568115200.484970000,14.7131,-1.55237,0.897109,0.00262325,0.00214309,0.736468,0.676464
1568115200.685373000,14.7157,-1.55044,0.90116,0.002851,0.00212322,0.736393,0.676545
1568115200.885925000,14.7084,-1.54917,0.897778,0.00290386,0.00169951,0.736419,0.676517
1568115201.086179000,14.7123,-1.55497,0.900091,0.00291335,0.00187776,0.736524,0.676403
1568115201.286595000,14.7186,-1.55312,0.900404,0.00316314,0.00173324,0.736583,0.676338
1568115201.486953000,14.7202,-1.55095,0.900767,0.00283186,0.00195423,0.736402,0.676536
1568115201.687349000,14.7155,-1.55258,0.89509,0.00317799,0.00204283,0.736503,0.676424
1568115201.887712000,14.7137,-1.55265,0.895788,0.00294871,0.00164323,0.736456,0.676477
1568115202.088160000,14.7235,-1.5534,0.893986,0.00271328,0.00164871,0.736458,0.676476
1568115202.288569000,14.7153,-1.56375,0.901347,0.00311966,0.0015669,0.736895,0.675998
1568115202.488919000,14.7125,-1.5606,0.895151,0.00245645,0.00206868,0.736722,0.676188
1568115202.689277000,14.7166,-1.55633,0.893907,0.00322933,0.00142347,0.736504,0.676425
1568115202.889675000,14.7189,-1.55436,0.894063,0.00286862,0.00177488,0.736527,0.6764
1568115203.090035000,14.716,-1.55558,0.895833,0.00265932,0.00244556,0.736745,0.676161
1568115203.290426000,14.718,-1.55381,0.896842,0.00273398,0.00217807,0.736488,0.676441
1568115203.490890000,14.7121,-1.55885,0.898128,0.00315203,0.00208202,0.736425,0.676509
1568115203.691323000,14.7172,-1.55632,0.892327,0.00274202,0.00220383,0.736387,0.676552
1568115203.891690000,14.7198,-1.55421,0.895862,0.00252799,0.00239142,0.736465,0.676467
1568115204.092104000,14.7223,-1.5485,0.900105,0.00276379,0.00227662,0.735931,0.677047
1568115204.292507000,14.7124,-1.55036,0.895943,0.00281186,0.00164026,0.736801,0.676101
1568115204.492859000,14.7138,-1.5565,0.885207,0.00216003,0.00241485,0.73637,0.676572
1568115204.693206000,14.7149,-1.55408,0.899179,0.00309085,0.00202798,0.737083,0.675792
1568115204.893639000,14.6959,-1.55891,0.899946,0.00267894,0.00238529,0.738226,0.674544
